category,ratio_name,formula,required_items,meaning,interpretation,warning_logic,notes
营运能力,固定资产周转率,营业收入/固定资产平均原值,营业收入、固定资产原值,衡量固定资产利用效率,越高越好,持续下降可能设备老化或产能过剩,教材强调用原值而非净值；用净值计算会导致折旧后虚增周转率
营运能力,总资产周转率,营业收入/总资产平均余额,营业收入、总资产,衡量总资产运营效率,越高资产使用效率越高,持续下降提示资产效率恶化,教材指出基于"企业属于经营主导型"假设前提；非经营资产长期规模大时应用经营资产周转率
营运能力,营业周期,存货周转天数+应收账款周转天数,存货周转天数、应收账款周转天数,从采购到收款的天数,越短资金效率越高,持续拉长提示运营效率恶化,现金转化周期=营业周期-应付账款周转天数
营运能力,现金转化周期,存货周转天数+应收账款周转天数-应付账款周转天数,全部三项周转天数,衡量资金被占用的天数,越短(甚至为负)越好；负值=占用上下游资金(OPM战略),正向持续拉长警告资金效率下降,格力电器等强势企业常为负
盈利能力,毛利率,(营业收入-营业成本)/营业收入×100%,营业收入、营业成本,衡量产品/服务的基本盈利能力,稳定或上升为良好,持续下降警告竞争力减弱或成本上升,教材：毛利率与企业竞争地位相关；大幅波动需警惕人为操纵(低转或高转成本)
盈利能力,核心利润率,核心利润/营业收入×100%,营业收入、营业成本、税金及附加、销售费用、管理费用、研发费用、利息费用(财务费用中的利息支出),衡量企业核心业务的盈利能力(张新民独创核心指标),越稳定越好；波动大提示业务不确定性高,持续下降提示主业竞争力恶化,核心利润=营业收入-营业成本-税金及附加-销售费用-管理费用-研发费用-利息费用；教材以此替代传统营业利润率
盈利能力,净利率,净利润/营业收入×100%,净利润、营业收入,衡量企业最终盈利能力,越高越好,大幅波动需区分经营性和非经营性因素,受非经常性损益影响大需看扣非口径
盈利能力,营业利润率,营业利润/营业收入×100%,营业利润、营业收入,传统盈利能力指标,越高越好,教材指出营业利润是"大杂烩"(含投资收益、公允价值变动等),不建议作为主要盈利指标
盈利能力,ROA(总资产报酬率),净利润/总资产平均余额×100%,净利润、总资产平均余额,衡量全部资产的获利能力,越高越好,下降信号资产效益恶化,可用EBIT替代净利润排除融资结构影响
盈利能力,ROE(净资产收益率/股东权益报酬率),归属于母公司股东的净利润/归属于母公司股东权益平均余额×100%,归母净利润、归母权益平均余额,衡量股东权益的回报水平(最经典指标),持续高于股权资本成本为良好,下降需用杜邦分析定位原因,教材强调分子分母范围一致；杜邦分析起点
盈利能力,ROIC(投入资本回报率),EBIT×(1-税率)/(有息负债+净资产),EBIT、税率、有息负债、净资产,衡量企业经营性投入资本的回报,高于WACC即为创造价值,持续低于WACC表明毁灭价值,教材未明确强调作为扩展指标
成长能力,营业收入增长率,(本期-上期)/上期×100%,多期营业收入,衡量企业规模扩张速度,稳定增长为良好,骤降警告市场萎缩或竞争力丧失,关注可持续性(内生vs并购)
成长能力,净利润增长率,(本期-上期)/上期×100%,多期净利润,衡量企业盈利增长,与收入增速同步为良好,收入增利润不增警告盈利能力下降,关注扣非净利润增长率
成长能力,核心利润增长率,(本期-上期)/上期×100%,多期核心利润,衡量主业盈利增长,与收入增速匹配说明成长质量高,核心利润增长落后收入增长警告增收不增利,更能反映经营层面的真实成长性
成长能力,总资产增长率,(期末-期初)/期初×100%,多期总资产,衡量企业资产扩张速度,适度增长为良好,远超收入增长率提示资产效率下降,区分经营性资产增长还是并购导致
成长能力,可持续增长率,ROE×(1-股利支付率),ROE、股利支付率,不改变资本结构下能实现的最大增长率,实际增长率≈可持续增长率为健康,实际增长率持续>可持续增长率可能导致资金缺口,理论值实际受多种因素影响
现金流质量,核心利润获现率,经营活动现金净流量/核心利润,经营活动现金流量净额、核心利润,衡量核心利润的现金获取能力(教材独创三个有价值现金流量比率中最重要的一个),传统工业企业1.2-1.5较为理想,显著偏低表明核心利润现金能力差,教材明确：不直接将经营现金流与净利润比较(口径差异大);重资产企业因折旧大可能偏高；业绩极好税负大可能偏低
现金流质量,投资收益获现率,取得投资收益收到的现金/投资收益,取得投资收益收到的现金(现金流量表)、投资收益(利润表),衡量投资收益的现金获取能力(教材独创),越大投资收益质量越高,显著偏低表明投资收益多是"纸面富贵",教材指出是大概考察；投资收益来源多样需结合具体渠道
现金流质量,收入现金比率,销售商品提供劳务收到的现金/营业收入×100%,销售商品提供劳务收到的现金、营业收入,衡量收入的回款质量,含税口径应接近113%(13%税率),持续偏低或下滑警告收入质量差,教材未直接列此项但收入质量分析中强调回款
现金流质量,自由现金流,经营活动现金流净额-资本性支出,经营活动现金流净额、购建固定资产等支付的现金,衡量可自由支配的现金流,持续为正且充裕为良好,长期为负警告造血不足或投资过度,教材未明确强调作为扩展指标
资本结构,有息负债率/资产金融负债率,(短期借款+长期借款+应付债券+一年内到期非流动负债+租赁负债)/总资产×100%,各类金融性负债、总资产,衡量真正的金融债务负担(教材独创),比资产负债率更精准,持续上升警告债务负担加重,教材专为解决传统资产负债率缺陷设计
资本结构,经营性负债占比,(应付票据+应付账款+预收款项+合同负债)/总负债×100%,各类经营性负债、总负债,衡量利用商业信用的能力(OPM战略核心指标),高占比可能说明供应链话语权强,过高可能意味着拖欠供应商不可持续,格力电器等高占比企业需结合竞争优势判断
资本结构,造血输血比,(盈余公积+未分配利润)/(股本+资本公积)×100%,盈余公积、未分配利润、股本、资本公积,衡量企业内生积累能力vs外部输血(教材战略视角独创分类),>100%表明自我造血能力强,持续偏低(<50%)警告对外部输血依赖大,教材：资产负债表右边理解为造血(利润积累+经营性负债)和输血(借款+股东入资)
资产质量,不良资产率,需逐项判断后汇总/总资产×100%,逐项判断各资产变现性和周转性,衡量资产中"水分"的多少,越低越好,持续上升警告资产质量恶化,教材强调从周转性、盈利性、保值性三维度判断各资产质量
资产质量,应收账款坏账准备率,坏账准备/应收账款原值×100%,坏账准备、应收账款原值,衡量坏账准备充分性,应与同行业和历史水平一致,显著低于同行可能准备不足,需结合应收账款账龄判断
资产质量,商誉占比,商誉/净资产×100%,商誉、净资产,衡量商誉减值对净资产的潜在冲击,越低越安全,>30%且被收购方业绩未达标警告商誉减值风险,需逐项分析被收购方业绩承诺
资产质量,固定资产成新率,固定资产净值/固定资产原值×100%,固定资产净值、固定资产原值,衡量固定资产新旧程度,正常老化,过低可能设备老化影响竞争力；突然骤降提示大额减值,受折旧方法影响
盈余质量,非经常性损益占比,非经常性损益/净利润×100%,非经常性损益、净利润,衡量利润的可持续性,越低含金量越高,>20%关注 >50%严重警告,亏损企业该指标可能失真
盈余质量,资产减值损失/净利润,资产减值损失/(abs(净利润)+资产减值损失)×100%,资产减值损失、净利润,衡量利润受资产减值的侵蚀程度,低而稳定为正常,某年突然大幅增加可能前期利润虚增,需排除行业大环境变化
杜邦分析,杜邦净利率,净利润/营业收入,多次出现,杜邦三因素之一,见盈利能力,见盈利能力,教材强调对于合并报表应用归母净利润和归母权益
杜邦分析,杜邦总资产周转率,营业收入/总资产,多次出现,杜邦三因素之二,见营运能力,见营运能力,基于"企业属于经营主导型"假设
杜邦分析,杜邦权益乘数,总资产/净资产,多次出现,杜邦三因素之三,见长期偿债,见长期偿债,同偿债能力指标
上市公司特殊,每股收益(EPS),净利润/普通股股数,净利润、普通股股数,反映每股享有的净利润,越高越好；需结合利润质量,虚高的EPS可能伴随利润质量差,教材指出企业间会计政策差异导致不可比
上市公司特殊,市盈率(PE),每股市价/每股收益,股价、EPS,反映市场对企业的期望,越高市场越看好,过高可能股价被高估,受会计政策差异影响
上市公司特殊,每股净资产,净资产/普通股股数,净资产、普通股股数,理论上提供每股最低价格,与股价比较判断估值,低于每股净资产可能被低估(需结合资产质量),教材指出是理论最低价
上市公司特殊,市净率(PB),每股市价/每股净资产,股价、每股净资产,考察股价高低的重要指标,越低可能越被低估,过高可能被高估,结合ROE判断
上市公司特殊,股利支付率,每股股利/每股收益,每股股利、EPS,反映利润分配比例,稳定为佳,过高可能透支未来；过低可能吝啬或需保留资金,结合企业发展阶段判断
上市公司特殊,每股经营活动现金净流量,经营活动现金净流量/普通股股数,经营活动现金净流量、普通股股数,反映每股享有的经营现金流,越高核心利润质量越高,与EPS背离警告利润质量,教材指出不能简单比较每股经营现金流与EPS(口径不同)
盈利能力-结构性,经营资产报酬率,核心利润/经营资产平均余额×100%,核心利润、经营资产（剔除货币资金和投资资产后的资产）,衡量经营活动占用资产的回报率（教材第5章/第8章）,越高经营活动资产使用效率越高,下降警告经营资产创利能力恶化,教材强调经营资产报酬率比总资产报酬率更能反映主业盈利能力；格力电器案例显示经营资产报酬率(19.95%)远高于总资产报酬率(10.05%)
盈利能力-结构性,非经营资产报酬率,（投资收益+利息收入-利息支出）/非经营资产平均余额×100%,投资收益、利息收入、利息支出、非经营资产,衡量非经营资产的回报率,与企业机会成本比较,非经营资产报酬率远低于经营资产报酬率说明资产配置结构有待优化,教材在格力电器案例中详细计算
盈利能力-结构性,流动经营资产周转率,营业收入/流动经营资产平均余额,营业收入、流动经营资产(=商业债权+预付款项+存货+合同资产等经营用流动资产),衡量流动经营资产的周转效率,越高越好,下降警告经营流动资产管理效率恶化,教材在格力电器案例分析中采用；与普通流动资产周转率的区别在于排除了货币资金和其他应收款等非经营项目
营运能力,商业债权周转率,营业收入/(应收票据+应收账款+应收款项融资)平均余额(原值),应收票据、应收账款、应收款项融资,衡量全部商业债权的回收效率,同应收款项周转率,同应收款项周转率,教材第2章和第8章均使用；格力电器案例中采用此指标
